fetched_at,name,url,status,n_tools,error
2026-08-10T02:23:59+00:00,ac.inference.sh/mcp,https://sh.inference.ac,error,,HTTPError: 401 Client Error: Unauthorized for url: https://api.inference.sh/mcp
2026-08-10T02:24:01+00:00,ac.tandem/docs-mcp,https://tandem.ac/mcp,ok,13,
2026-08-10T02:24:01+00:00,ag.hood/name-service,https://www.hood.ag/api/mcp,error,,HTTPError: 503 Server Error: Service Unavailable for url: https://www.hood.ag/api/mcp
2026-08-10T02:24:02+00:00,agency.goji/goji,https://mcp.goji.agency/mcp,ok,9,
2026-08-10T02:24:02+00:00,agency.kesey/pretrip,,skipped_no_remote,,
2026-08-10T02:24:03+00:00,agency.lona/trading,https://mcp.lona.agency/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.lona.agency/mcp
2026-08-10T02:24:05+00:00,ai.1325/mcp,https://agoclnqfyinwjxdmjnns.supabase.co/functions/v1/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://agoclnqfyinwjxdmjnns.supabase.co/functions/v1/mcp
2026-08-10T02:24:06+00:00,ai.aarna/atars-mcp,https://mcp.aarna.ai/mcp,ok,18,
2026-08-10T02:24:07+00:00,ai.abmeter/abmeter,https://mcp.abmeter.ai,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.abmeter.ai/
2026-08-10T02:24:07+00:00,ai.adadvisor/mcp-server,https://api.adadvisor.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://api.adadvisor.ai/mcp
2026-08-10T02:28:19+00:00,ac.inference.sh/mcp,https://sh.inference.ac,error,,HTTPError: 401 Client Error: Unauthorized for url: https://api.inference.sh/mcp
2026-08-10T02:28:20+00:00,ac.tandem/docs-mcp,https://tandem.ac/mcp,ok,13,
2026-08-10T02:28:21+00:00,ag.hood/name-service,https://www.hood.ag/api/mcp,error,,HTTPError: 503 Server Error: Service Unavailable for url: https://www.hood.ag/api/mcp
2026-08-10T02:28:22+00:00,agency.goji/goji,https://mcp.goji.agency/mcp,ok,9,
2026-08-10T02:28:22+00:00,agency.kesey/pretrip,,skipped_no_remote,,
2026-08-10T02:28:22+00:00,agency.lona/trading,https://mcp.lona.agency/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.lona.agency/mcp
2026-08-10T02:28:24+00:00,ai.1325/mcp,https://agoclnqfyinwjxdmjnns.supabase.co/functions/v1/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://agoclnqfyinwjxdmjnns.supabase.co/functions/v1/mcp
2026-08-10T02:28:25+00:00,ai.aarna/atars-mcp,https://mcp.aarna.ai/mcp,ok,18,
2026-08-10T02:28:26+00:00,ai.abmeter/abmeter,https://mcp.abmeter.ai,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.abmeter.ai/
2026-08-10T02:28:27+00:00,ai.adadvisor/mcp-server,https://api.adadvisor.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://api.adadvisor.ai/mcp
2026-08-10T02:28:27+00:00,ai.adeu/adeu,,skipped_no_remote,,
2026-08-10T02:28:27+00:00,ai.adoraads/beauty,https://mcp.adoraads.ai/beauty,ok,6,
2026-08-10T02:28:28+00:00,ai.adplane/google-ads,https://mcp.adplane.ai,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.adplane.ai/
2026-08-10T02:28:29+00:00,ai.adramp/google-ads,https://mcp.adramp.ai/sse,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.adramp.ai/sse
2026-08-10T02:28:29+00:00,ai.adside/adside,https://api.adside.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://api.adside.ai/mcp
2026-08-10T02:28:30+00:00,ai.adweave/meta-ads-mcp,https://mcp.adweave.ai/meta-ads-mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.adweave.ai/meta-ads-mcp
2026-08-10T02:28:30+00:00,ai.aetherwealth/mcp,,skipped_no_remote,,
2026-08-10T02:28:32+00:00,ai.afmr/discovery,https://afmr.ai/api/rpc,ok,4,
2026-08-10T02:28:33+00:00,ai.agentberg/agentberg,https://agentberg.ai/mcp,ok,11,
2026-08-10T02:28:33+00:00,ai.agentdm/agentdm,https://api.agentdm.ai/api/v1/grid,error,,HTTPError: 401 Client Error: Unauthorized for url: https://api.agentdm.ai/api/v1/grid
2026-08-10T02:28:34+00:00,ai.agentic-news/mcp,https://api.agentic-news.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://api.agentic-news.ai/mcp
2026-08-10T02:28:35+00:00,ai.agenticaffiliate/affiliate-networks-mcp,https://mcp.agenticaffiliate.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.agenticaffiliate.ai/mcp
2026-08-10T02:28:36+00:00,ai.agenticfabricationnetwork/ufp,https://agenticfabricationnetwork.ai/mcp,ok,10,
2026-08-10T02:28:37+00:00,ai.agenticshelf/graffeo,https://api.agenticshelf.ai/m/graffeo/mcp,error,,HTTPError: 503 Server Error: Service Unavailable for url: https://api.agenticshelf.ai/m/graffeo/mcp
2026-08-10T02:28:37+00:00,ai.agenticshelf/mcp,https://api.agenticshelf.ai/mcp,error,,HTTPError: 503 Server Error: Service Unavailable for url: https://api.agenticshelf.ai/mcp
2026-08-10T02:28:38+00:00,ai.agenticshelf/puroair,https://api.agenticshelf.ai/m/puroair/mcp,error,,HTTPError: 503 Server Error: Service Unavailable for url: https://api.agenticshelf.ai/m/puroair/mcp
2026-08-10T02:28:39+00:00,ai.agenticterminal/directory,https://mcp.agenticterminal.ai/mcp,ok,6,
2026-08-10T02:28:40+00:00,ai.agentlookups/counterscript,https://rx.agentlookups.ai/mcp,ok,1,
2026-08-10T02:28:41+00:00,ai.agentlookups/groundtruth,https://env.agentlookups.ai/mcp,ok,2,
2026-08-10T02:28:42+00:00,ai.agentlookups/overassessed,https://overassessed.agentlookups.ai/mcp,ok,1,
2026-08-10T02:28:42+00:00,ai.agentlookups/plumbline,https://contractors.agentlookups.ai/mcp,ok,1,
2026-08-10T02:28:43+00:00,ai.agentplaybooks/agentplaybooks,https://agentplaybooks.ai/api/mcp/manage,ok,47,
2026-08-10T02:28:44+00:00,ai.agentrapay/agentra,https://api.agentrapay.ai/mcp,ok,6,
2026-08-10T02:28:44+00:00,ai.agenttrust/mcp-server,,skipped_no_remote,,
2026-08-10T02:28:44+00:00,ai.agentutility/mcp-agentops,,skipped_no_remote,,
2026-08-10T02:28:44+00:00,ai.agentutility/mcp-bestiary,,skipped_no_remote,,
2026-08-10T02:28:44+00:00,ai.agentutility/mcp-browser-workflow,,skipped_no_remote,,
2026-08-10T02:28:44+00:00,ai.agentutility/mcp-compose,,skipped_no_remote,,
2026-08-10T02:28:44+00:00,ai.agentutility/mcp-edge-finance,,skipped_no_remote,,
2026-08-10T02:28:44+00:00,ai.agentutility/mcp-edge-market,,skipped_no_remote,,
2026-08-10T02:28:44+00:00,ai.agentutility/mcp-locale,,skipped_no_remote,,
