name,source_url,fetched_at,n_tools,catalog_tokens,median_tool_tokens,largest_tool_tokens,pct_params_described,any_enum_constraint,longest_description_chars,count_method
ac.tandem/docs-mcp,https://tandem.ac/mcp,2026-08-10T02:28:20+00:00,13,1717,130,211,100.0,True,126,tiktoken:o200k_base
agency.goji/goji,https://mcp.goji.agency/mcp,2026-08-10T02:28:22+00:00,9,1463,138,357,62.5,True,355,tiktoken:o200k_base
ai.aarna/atars-mcp,https://mcp.aarna.ai/mcp,2026-08-10T02:28:25+00:00,18,5220,262,492,0.0,False,1231,tiktoken:o200k_base
ai.adoraads/beauty,https://mcp.adoraads.ai/beauty,2026-08-10T02:28:27+00:00,6,1877,274,574,100.0,True,593,tiktoken:o200k_base
ai.afmr/discovery,https://afmr.ai/api/rpc,2026-08-10T02:28:32+00:00,4,425,85,179,66.7,False,108,tiktoken:o200k_base
ai.agentberg/agentberg,https://agentberg.ai/mcp,2026-08-10T02:28:33+00:00,11,2363,169,443,67.9,True,566,tiktoken:o200k_base
ai.agenticfabricationnetwork/ufp,https://agenticfabricationnetwork.ai/mcp,2026-08-10T02:28:36+00:00,10,7585,317,3138,83.3,True,1225,tiktoken:o200k_base
ai.agenticterminal/directory,https://mcp.agenticterminal.ai/mcp,2026-08-10T02:28:39+00:00,6,579,75,209,0.0,True,150,tiktoken:o200k_base
ai.agentlookups/counterscript,https://rx.agentlookups.ai/mcp,2026-08-10T02:28:40+00:00,1,121,119,119,100.0,False,258,tiktoken:o200k_base
ai.agentlookups/groundtruth,https://env.agentlookups.ai/mcp,2026-08-10T02:28:41+00:00,2,267,133,153,100.0,False,269,tiktoken:o200k_base
ai.agentlookups/overassessed,https://overassessed.agentlookups.ai/mcp,2026-08-10T02:28:42+00:00,1,181,179,179,100.0,False,404,tiktoken:o200k_base
ai.agentlookups/plumbline,https://contractors.agentlookups.ai/mcp,2026-08-10T02:28:42+00:00,1,326,324,324,100.0,False,885,tiktoken:o200k_base
ai.agentplaybooks/agentplaybooks,https://agentplaybooks.ai/api/mcp/manage,2026-08-10T02:28:43+00:00,47,6655,126,345,100.0,True,424,tiktoken:o200k_base
ai.agentrapay/agentra,https://api.agentrapay.ai/mcp,2026-08-10T02:28:44+00:00,6,1382,227,336,100.0,False,641,tiktoken:o200k_base
ai.ai-akari/agent-trust-receipt,https://ai-akari.ai/mcp-trust,2026-08-10T02:28:45+00:00,2,992,496,596,0.0,True,501,tiktoken:o200k_base
ai.ai-akari/one-minute-akari,https://ai-akari.ai/mcp,2026-08-10T02:28:46+00:00,4,1836,450,730,33.3,True,273,tiktoken:o200k_base
ai.ai-portal/ai-portal,https://www.ai-portal.ai/mcp,2026-08-10T02:28:47+00:00,4,451,108,170,90.0,True,151,tiktoken:o200k_base
ai.airshelf/catalog,https://mcp.airshelf.ai/mcp,2026-08-10T02:28:49+00:00,8,4729,500,1394,100.0,True,3362,tiktoken:o200k_base
ai.aivonic/mcp,https://mcp.aivonic.ai,2026-08-10T02:28:51+00:00,5,567,97,165,0.0,False,299,tiktoken:o200k_base
ai.alphacreek/alphacreek-mcp,https://mcp.alphacreek.ai/mcp,2026-08-10T02:28:52+00:00,4,1390,342,396,47.1,True,736,tiktoken:o200k_base
ai.analyticslegends/sap-analytics,https://analyticslegends.ai/mcp,2026-08-10T02:28:55+00:00,16,7649,442,779,100.0,True,1324,tiktoken:o200k_base
ai.arclan/registry,https://arclan.ai/mcp,2026-08-10T02:28:58+00:00,4,1126,282,420,100.0,True,561,tiktoken:o200k_base
ai.argushq/enforcement-database,https://argushq.ai/api/mcp,2026-08-10T02:28:59+00:00,5,618,123,148,100.0,False,170,tiktoken:o200k_base
ai.artidrop/artidrop,https://artidrop.ai/mcp,2026-08-10T02:29:02+00:00,4,740,142,392,100.0,True,458,tiktoken:o200k_base
ai.auralogs/auralogs,https://mcp.auralogs.ai/mcp,2026-08-10T02:29:07+00:00,7,705,71,199,0.0,True,238,tiktoken:o200k_base
ai.auteng/docs,https://auteng.ai/mcp/docs,2026-08-10T02:29:08+00:00,7,1844,281,373,0.0,False,734,tiktoken:o200k_base
ai.auteng/mcp,https://auteng.ai/mcp,2026-08-10T02:29:09+00:00,7,1844,281,373,0.0,False,734,tiktoken:o200k_base
ai.autonomad/travel,https://mcp.autonomad.ai/mcp,2026-08-10T02:29:10+00:00,8,2479,230,848,45.5,True,3115,tiktoken:o200k_base
ai.aviado/health,https://aviado.ai/api/mcp,2026-08-10T02:29:17+00:00,9,1477,146,249,100.0,True,649,tiktoken:o200k_base
ai.bankee/inferventis-mcp,https://mcp-server-295985738387.europe-west1.run.app/mcp,2026-08-10T02:29:19+00:00,20,6652,316,619,100.0,False,1288,tiktoken:o200k_base
ai.benroberts/b4-index,https://b4-index.vercel.app/mcp,2026-08-10T02:29:24+00:00,5,3160,561,811,100.0,True,1620,tiktoken:o200k_base
ai.betterpost/server,https://betterpost.ai/mcp,2026-08-10T02:29:25+00:00,23,13442,500,1184,28.8,True,549,tiktoken:o200k_base
ai.bezal/local-commerce,https://app.bezal.ai/api/mcp,2026-08-10T02:29:26+00:00,13,2324,183,339,71.9,False,165,tiktoken:o200k_base
ai.blast-radius/blast-radius,https://blast-radius.ai/mcp,2026-08-10T02:29:28+00:00,7,512,59,149,100.0,False,494,tiktoken:o200k_base
ai.boolsai/directory,https://directory.boolsai.ai/mcp,2026-08-10T02:29:31+00:00,19,2934,152,317,97.7,True,682,tiktoken:o200k_base
ai.boolsai/grep,https://grep.boolsai.ai/mcp,2026-08-10T02:29:31+00:00,4,754,149,412,61.9,False,435,tiktoken:o200k_base
ai.boolsai/scan,https://boolsai.ai/mcp,2026-08-10T02:29:32+00:00,2,345,172,218,100.0,False,456,tiktoken:o200k_base
ai.boolsai/signals,https://signals.boolsai.ai/mcp,2026-08-10T02:29:32+00:00,12,1901,145,265,87.2,True,472,tiktoken:o200k_base
